Order,Position_x,Position_y,Position_z,Owner_ID,Distance_to_Camera,Connected_Vertices,Bottom_Left_x,Bottom_Left_y,Bottom_Left_z,Top_Left_x,Top_Left_y,Top_Left_z,Top_Right_x,Top_Right_y,Top_Right_z,Bottom_Right_x,Bottom_Right_y,Bottom_Right_z,Frustum_Apex_x,Frustum_Apex_y,Frustum_Apex_z,Is_Visible,Out_Of_Frame,BehindAMesh
52,1.188901,-0.3089014,0.2401929,-9518,4.665164,205 53 49 9 82 259,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
53,1.211348,-0.3313476,0.1701416,-9518,4.723097,206 54 205 52 259 262,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
54,1.22697,-0.3469702,0.0880603,-9518,4.781219,207 25 206 53 262 265,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
55,1.188901,-0.3089014,-0.2401929,-9518,4.926444,56 181 178 8 251 250,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
56,1.211348,-0.3313476,-0.1701416,-9518,4.907428,184 181 55 57 252 251,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
57,1.22697,-0.3469702,-0.0880603,-9518,4.876356,56 184 115 25 130 252,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
58,1.189951,0.3090894,-0.2409058,-9518,4.888319,12 214 215 59 277 88,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
59,1.212473,0.3315698,-0.1707129,-9518,4.866245,58 215 216 60 280 277,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
60,1.228127,0.3472266,-0.08835449,-9518,4.832752,59 216 118 26 283 280,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
61,1.189951,0.3090894,0.2409058,-9518,4.624082,62 223 64 13 268 269,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
62,1.212473,0.3315698,0.1707129,-9518,4.679656,63 226 223 61 269 270,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
63,1.228127,0.3472266,0.08835449,-9518,4.736415,26 229 226 62 270 136,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
64,1.120906,0.3090894,0.3099512,-9518,4.529485,61 223 13 65 313 85,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
65,1.050713,0.3315698,0.3324731,-9518,4.457639,223 64 224 66 316 313,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
66,0.9683545,0.3472266,0.3481274,-9518,4.379021,224 65 225 27 319 316,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
67,0.6390942,0.3090894,0.3099512,-9518,4.121574,68 235 232 15 304 305,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
68,0.7092871,0.3315698,0.3324731,-9518,4.16772,69 238 235 67 305 306,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
69,0.7916455,0.3472266,0.3481274,-9518,4.228662,27 121 238 68 306 148,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
70,0.5700488,0.3090894,0.2409058,-9518,4.103885,15 232 233 71 349 97,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
71,0.5475268,0.3315698,0.1707129,-9518,4.126622,70 233 234 72 352 349,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
72,0.5318726,0.3472266,0.08835449,-9518,4.163431,71 234 124 28 355 352,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
73,0.5700488,0.3090894,-0.2409058,-9518,4.399477,76 14 241 74 340 341,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
74,0.5475268,0.3315698,-0.1707129,-9518,4.33707,241 73 244 75 341 342,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
75,0.5318726,0.3472266,-0.08835449,-9518,4.272706,244 74 247 28 342 160,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
76,0.6390942,0.3090894,-0.3099512,-9518,4.49681,73 14 241 77 385 103,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
77,0.7092871,0.3315698,-0.3324731,-9518,4.564954,242 78 241 76 388 385,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
78,0.7916455,0.3472266,-0.3481274,-9518,4.6383,243 29 242 77 391 388,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
79,1.120906,0.3090894,-0.3099512,-9518,4.873414,80 217 214 12 376 377,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
80,1.050713,0.3315698,-0.3324731,-9518,4.831093,220 217 79 81 377 378,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
81,0.9683545,0.3472266,-0.3481274,-9518,4.775779,80 220 127 29 378 172,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
82,1.188901,-0.2401929,0.3089014,-9518,4.621939,52 9 259 83 286 289,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
83,1.211348,-0.1701416,0.3313476,-9518,4.622314,259 82 260 84 289 292,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
84,1.22697,-0.0880603,0.3469702,-9518,4.620319,260 83 261 30 292 151,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
85,1.189951,0.2401733,0.3099512,-9518,4.589688,86 271 268 13 313 64,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
86,1.212473,0.1698926,0.3324731,-9518,4.599651,87 274 271 85 314 313,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
87,1.228127,0.08750671,0.3481274,-9518,4.608843,30 133 274 86 315 314,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
88,1.189951,0.2401733,-0.3099512,-9518,4.929418,277 89 58 12 379 376,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
89,1.212473,0.1698926,-0.3324731,-9518,4.96243,278 90 277 88 382 379,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
90,1.228127,0.08750671,-0.3481274,-9518,4.987352,279 31 278 89 169 382,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
91,1.188901,-0.2401929,-0.3089014,-9518,4.958356,8 250 253 92 34 367,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
92,1.211348,-0.1701416,-0.3313476,-9518,4.982265,91 253 256 93 367 368,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
93,1.22697,-0.0880603,-0.3469702,-9518,4.996751,92 256 139 31 368 369,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
94,0.5710986,-0.2401929,0.3089014,-9518,4.103345,46 11 295 95 322 325,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
95,0.5486524,-0.1701416,0.3313476,-9518,4.063509,295 94 296 96 325 328,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
96,0.5330298,-0.0880603,0.3469702,-9518,4.032967,296 95 297 32 328 163,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
97,0.5700488,0.2401733,0.3099512,-9518,4.065093,98 307 304 15 349 70,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
98,0.5475268,0.1698926,0.3324731,-9518,4.035669,99 310 307 97 350 349,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
